config,wsg,species,habitat_type,unit,link_value,bcfishpass_value,diff_pct
default,HORS,CH,rearing,km,323.09,254.75,26.83
default,HORS,CH,lake_rearing,ha,8034.26,0,NA
default,HORS,CH,wetland_rearing,ha,1158.95,0,NA
default,HORS,CH,rearing_stream,km,245.96,178.8,37.56
default,HORS,CH,rearing_lake_centerline,km,0,0,NA
default,HORS,CH,rearing_wetland_centerline,km,0,0,NA
default,HORS,CO,spawning,km,278.5,257.13,8.31
default,HORS,CO,rearing,km,380.65,373.82,1.83
default,HORS,CO,lake_rearing,ha,9025.86,0.85,1061765.88
default,HORS,CO,wetland_rearing,ha,1177.82,1473.43,-20.06
default,HORS,CO,rearing_stream,km,304.1,297.58,2.19
default,HORS,CO,rearing_lake_centerline,km,0,0,NA
default,HORS,CO,rearing_wetland_centerline,km,0,0,NA
default,HORS,SK,spawning,km,44.38,NA,NA
default,HORS,SK,rearing,km,189.46,NA,NA
default,HORS,SK,lake_rearing,ha,7906.01,0,NA
default,HORS,SK,wetland_rearing,ha,0,0,NA
default,HORS,SK,rearing_stream,km,0,NA,NA
default,HORS,SK,rearing_lake_centerline,km,0,NA,NA
default,HORS,SK,rearing_wetland_centerline,km,0,NA,NA
default,HORS,RB,spawning,km,287.9,0,NA
default,HORS,RB,rearing,km,514.96,0,NA
default,HORS,RB,lake_rearing,ha,9166.12,0,NA
default,HORS,RB,wetland_rearing,ha,1228.27,0,NA
default,HORS,RB,rearing_stream,km,438.59,0,NA
default,HORS,RB,rearing_lake_centerline,km,0,0,NA
default,HORS,RB,rearing_wetland_centerline,km,0,0,NA
default,LFRA,BT,spawning,km,1267.08,1275.6,-0.67
default,LFRA,BT,rearing,km,1548.58,1800.4,-13.99
default,LFRA,BT,lake_rearing,ha,14924.89,15169.62,-1.61
default,LFRA,BT,wetland_rearing,ha,3382.27,3387.78,-0.16
default,LFRA,BT,rearing_stream,km,1085.68,1103.05,-1.57
default,LFRA,BT,rearing_lake_centerline,km,0,0,NA
default,LFRA,BT,rearing_wetland_centerline,km,0,0,NA
default,LFRA,CH,spawning,km,826.72,818.01,1.06
default,LFRA,CH,rearing,km,1254.51,1176.05,6.67
default,LFRA,CH,lake_rearing,ha,14445.6,0,NA
default,LFRA,CH,wetland_rearing,ha,3381,0,NA
default,LFRA,CH,rearing_stream,km,818.14,745.81,9.7
default,LFRA,CH,rearing_lake_centerline,km,0,0,NA
default,LFRA,CH,rearing_wetland_centerline,km,0,0,NA
default,LFRA,CM,spawning,km,1173.19,1147.72,2.22
default,LFRA,CM,rearing,km,0,0,NA
default,LFRA,CM,lake_rearing,ha,0,0,NA
default,LFRA,CM,wetland_rearing,ha,0,0,NA
default,LFRA,CM,rearing_stream,km,0,0,NA
default,LFRA,CM,rearing_lake_centerline,km,0,0,NA
default,LFRA,CM,rearing_wetland_centerline,km,0,0,NA
default,LFRA,CO,spawning,km,1222.74,1152.04,6.14
default,LFRA,CO,rearing,km,1325.73,1283.17,3.32
default,LFRA,CO,lake_rearing,ha,14654.39,0,NA
default,LFRA,CO,wetland_rearing,ha,3385.21,3345.06,1.2
default,LFRA,CO,rearing_stream,km,889.36,851.94,4.39
default,LFRA,CO,rearing_lake_centerline,km,0,0,NA
default,LFRA,CO,rearing_wetland_centerline,km,0,0,NA
default,LFRA,PK,spawning,km,1165.81,1147.72,1.58
default,LFRA,PK,rearing,km,0,0,NA
default,LFRA,PK,lake_rearing,ha,0,0,NA
default,LFRA,PK,wetland_rearing,ha,0,0,NA
default,LFRA,PK,rearing_stream,km,0,0,NA
default,LFRA,PK,rearing_lake_centerline,km,0,0,NA
default,LFRA,PK,rearing_wetland_centerline,km,0,0,NA
